zip_code,city,state,county,s2014_03,s2014_06,s2014_09,s2014_12,s2015_03,s2015_06,s2015_09,s2015_12,s2016_03,s2016_06,s2016_09,s2016_12,s2017_03,s2017_06,s2017_09,s2017_12
74033,Glenpool,OK,Tulsa,102600,102000,102300,103700,107100,111500,112600,113500,113800,113800,115700,116700,120700,119600,119900,121500
74035,Hominy,OK,Osage,51900,55600,58100,60900,64200,63800,62400,60100,61300,61600,62200,61500,56900,61400,62900,62000
74036,Inola,OK,Rogers,96400,98600,98200,97800,98600,102800,105200,108800,106400,106200,108500,110200,111800,104300,104600,101200
74037,Jenks,OK,Tulsa,166800,168800,170800,172300,174000,177600,178900,179500,179900,181400,185200,188800,192900,185700,184500,186900
74039,Kellyville,OK,Creek,75700,76900,80200,83600,80700,88400,96400,104400,109100,108900,108700,112300,115700,120300,122800,123200
74041,Kiefer,OK,Creek,125300,126200,132800,134300,129500,130000,135600,137000,138600,136300,136100,137700,141500,143300,140500,141800
74044,Mannford,OK,Creek,92100,93300,97600,103600,103100,106600,111100,112300,115200,120000,120800,124600,126100,127000,127600,128100
74047,Mounds,OK,Creek,112700,111300,112500,116200,120200,126200,136400,141300,136700,136400,134900,134400,138100,142500,143300,146100
74051,Ochelata,OK,Washington,69600,74500,76200,77000,80300,84300,86600,88200,91600,95000,105300,111200,105800,103700,107400,106400
74053,Oologah,OK,Rogers,108200,109300,111400,113700,114400,119800,119400,120400,119500,120900,122900,125500,127400,123600,125600,124700
74055,Owasso,OK,Tulsa,145700,147200,147900,149500,151600,155000,156800,159200,158800,160300,162000,164800,168200,162600,162900,164100
74056,Pawhuska,OK,Osage,51700,53100,54400,57500,62600,63700,62800,62900,64500,65500,66600,70000,66000,65500,65700,65100
74059,Perkins,OK,Payne,102900,103400,106500,108600,109400,110400,113700,115800,119900,122600,117200,119200,122200,128200,130900,130500
74061,Ramona,OK,Washington,76400,82100,82500,83600,89800,99600,101800,105200,106400,106700,116300,124800,114900,108000,113800,114900
74063,Sand Springs,OK,Tulsa,104300,104900,105900,107500,111400,116100,117900,119100,119900,119800,122000,124200,127500,126200,127100,128600
74066,Sapulpa,OK,Creek,83000,84400,88300,91800,90400,95200,99400,105300,107800,107400,107100,110000,111900,113600,115500,115600
74070,Skiatook,OK,Osage,116400,116300,118100,120300,124700,131300,133000,133800,134700,132200,132300,133000,131300,129600,131000,129700
74073,Sperry,OK,Tulsa,104100,105500,106100,110400,117700,124800,126100,125400,123700,121600,121400,122400,124300,122500,125600,123700
74074,Stillwater,OK,Payne,157700,161100,164400,166700,168200,167600,170100,172900,176500,180300,176800,176200,177900,179000,181700,182700
74075,Stillwater,OK,Payne,138700,139600,140600,143300,144900,146800,148800,150400,152500,155400,149700,148700,150100,152400,155200,156400
74079,Stroud,OK,Lincoln,51600,53900,56200,56300,57200,59200,63100,65400,67400,68200,66800,67700,68800,72500,73100,73000
74085,Yale,OK,Payne,67800,67600,69300,71700,72300,75400,78500,81100,85200,93300,87700,86200,86500,85200,86400,87800
74104,Tulsa,OK,Tulsa,107000,108600,108500,108800,111800,116500,119100,120900,121500,123400,127300,129600,134300,132000,132700,135200
74105,Tulsa,OK,Tulsa,128900,129300,129800,130900,133100,136400,136700,138200,139700,144400,149000,150000,155000,150400,151300,153900
74106,Tulsa,OK,Tulsa,51000,51100,51000,52200,51900,54400,55400,57300,56300,57500,58900,60200,64500,60100,58100,56600
74107,Tulsa,OK,Tulsa,67300,66500,66200,66400,69000,71100,72600,74400,74100,73800,74400,74900,79200,78600,78800,81900
74108,Tulsa,OK,Tulsa,74500,76500,76100,78200,78800,80900,81000,83200,85200,89700,96200,99800,98600,85400,86500,90000
74110,Tulsa,OK,Tulsa,43600,44600,45200,45600,45200,46600,49100,49900,49800,50200,51100,53800,58400,54300,51100,51400
74112,Tulsa,OK,Tulsa,84900,85100,84600,84700,86100,87500,90100,91100,93200,94800,96200,99000,100200,99700,101200,102800
74114,Tulsa,OK,Tulsa,120900,121400,121500,122800,124700,128500,130700,131000,133200,136000,138500,140100,143400,139900,141200,145200
74115,Tulsa,OK,Tulsa,48000,49200,49800,50600,51200,52300,52500,53700,54100,54800,55800,56900,60200,57000,56000,56900
